analyte,anzecc_reliability,anzecc_data_type,ssd_available,no_ssd_reason,acr,anzecc_hc_percentile,trigger_divisor,n_min_override,fit_dist,dgv_99pct_ug_L,dgv_95pct_ug_L,dgv_90pct_ug_L,dgv_80pct_ug_L,dgv_conditions,observations_analyte,data_source,source_doc,source_page,notes,coanalytes_required,normalisation_formula,moa_group
4.4-DDT,MR,acute_LC50,TRUE,NA,70.85,1,70.85,NA,burrIII3,0.006,0.01,0.02,0.04,µg total DDT/L,"4,4'-DDT",Warne2000,toxicant-trigger-value-derivation_0.pdf,124-125,"n=66. Bioaccumulation (log Kow >4): ANZECC adopted HC1÷ACR (not HC5÷ACR). ACR=70.85. Previous extraction had 7 of 66 values — now corrected. observations_analyte='4,4\'-DDT'.",NA,NA,NA
Parathion,MR,acute_LC50,TRUE,NA,71.21,5,71.21,NA,burrIII3,7e-4,0.004,0.01,0.04,µg parathion/L,Parathion,Warne2000,toxicant-trigger-value-derivation_0.pdf,141-142,"n=46. ACR=71.21. Previous extraction had 8 values (fish only, 65–28896 µg/L), missing all sensitive invertebrate data (0.04–1.5 µg/L). Now corrected.",NA,NA,NA
Azinphos Methyl,MR,acute_LC50,TRUE,NA,10,1,10,NA,burrIII3,0.01,0.02,0.05,0.11,µg azinphos-methyl/L,Azinphos-methyl,Warne2000,toxicant-trigger-value-derivation_0.pdf,134-135,n=26. ACR=10 (default; none available). ANZECC adopted HC1÷10 (not HC5÷10) as HC5/10 was too close to acute toxicity data. Previous extraction had 7 of 26 values. Now corrected.,NA,NA,NA
Dimethoate,MR,acute_LC50,TRUE,NA,10,5,10,NA,burrIII3,0.1,0.15,0.2,0.3,µg dimethoate/L,Dimethoate,Warne2000,toxicant-trigger-value-derivation_0.pdf,138,n=12 (sensitive mode of bimodal distribution only). ACR=10 (default). Previous extraction used insensitive mode (4784–22000 µg/L). Now corrected.,NA,NA,NA
Naphthalene,MR,acute_LC50,TRUE,NA,10,5,10,NA,lnorm,2.5,16,37,85,µg naphthalene/L,Naphthalene,Warne2000,toxicant-trigger-value-derivation_0.pdf,NA,ACR not stated; default 10 used. Verify from Warne 2000 naphthalene section. fit_dist overridden to lnorm: n=7 with a large data gap (2.7 then 120 µg/L) causes burrIII3 3-parameter fit to give HC5=3.9 µg/L vs reference 16 µg/L (4×); lnorm gives ratio ~0.52 (within acceptable range). Review if more data added.,NA,NA,NA
Benzo(a)pyrene,LR,qsar_predicted,TRUE,NA,NA,1,10,NA,burrIII3,0.1,NA,NA,NA,µg BaP/L (QSAR-predicted values; exceed water solubility for high values — this is expected for QSAR),Benzo(a)pyrene,Warne2000,toxicant-trigger-value-derivation_0.pdf,56-57,n=21 QSAR values. Bioaccumulation (log Kow >4): ANZECC adopted HC1÷10. trigger_divisor=10 is a bioaccumulation safety factor (not ACR — no acute data). Previous extraction had 6 of 21 values. Now corrected.,NA,NA,NA
Phenanthrene,LR,qsar_predicted,FALSE,QSAR-derived trigger — no SSD available in Warne 2000,NA,NA,NA,NA,NA,NA,NA,0.6,NA,µg phenanthrene/L,NA,Warne2000,toxicant-trigger-value-derivation_0.pdf,NA,NA,NA,NA,NA
Anthracene,LR,qsar_predicted,FALSE,QSAR-derived trigger — no SSD available in Warne 2000,NA,NA,NA,NA,NA,NA,NA,0.1,NA,µg anthracene/L,NA,Warne2000,toxicant-trigger-value-derivation_0.pdf,NA,NA,NA,NA,NA
Fluoranthene,LR,qsar_predicted,FALSE,LR method — insufficient data for SSD,NA,NA,NA,NA,NA,NA,NA,1,NA,µg fluoranthene/L,NA,Warne2000,toxicant-trigger-value-derivation_0.pdf,NA,Bioaccumulation (log Kow >4); assessment factor trigger.,NA,NA,NA
Benzene,MR,acute_LC50,TRUE,NA,10,5,10,NA,burrIII3,600,950,1300,2000,µg benzene/L,Benzene,Warne2000,toxicant-trigger-value-derivation_0.pdf,NA,ACR not stated; default 10 used. Implied ACR ~3.4 from data/DGV comparison. Verify from Warne.,NA,NA,NA
Toluene,LR,acute_LC50,FALSE,LR method — insufficient data for SSD,NA,NA,NA,NA,NA,NA,NA,180,NA,µg toluene/L,NA,Warne2000,toxicant-trigger-value-derivation_0.pdf,NA,NA,NA,NA,NA
Ethylbenzene,LR,acute_LC50,FALSE,LR method — insufficient data for SSD,NA,NA,NA,NA,NA,NA,NA,80,NA,µg ethylbenzene/L,NA,Warne2000,toxicant-trigger-value-derivation_0.pdf,NA,NA,NA,NA,NA
o-Xylene,MR,acute_LC50,TRUE,NA,10,5,10,NA,burrIII3,200,350,470,640,µg o-xylene/L,o-Xylene,Warne2000,toxicant-trigger-value-derivation_0.pdf,NA,ACR not stated; default 10 used. Implied ACR ~4.4 from data/DGV comparison. Verify from Warne.,NA,NA,NA
Phenol,MR,acute_LC50,TRUE,NA,16.3,5,16.3,NA,burrIII3,85,320,600,1200,µg phenol/L,Phenol,Warne2000,toxicant-trigger-value-derivation_0.pdf,NA,ACR=16.3. HC5 within 2× of expected. Good extraction.,NA,NA,NA
2-Chlorophenol,MR,acute_LC50,TRUE,NA,10,5,10,NA,burrIII3,340,490,630,870,µg 2-chlorophenol/L,2-Chlorophenol,Warne2000,toxicant-trigger-value-derivation_0.pdf,NA,ACR not stated; implied ~9.4 from DGV comparison; default 10 used. Verify from Warne.,NA,NA,NA
2.4.6-Trichlorophenol,MR,acute_LC50,TRUE,NA,10,5,10,NA,burrIII3,3,20,40,95,"µg 2,4,6-trichlorophenol/L","2,4,6-Trichlorophenol",Warne2000,toxicant-trigger-value-derivation_0.pdf,NA,ACR not stated; implied ~12.5 from DGV comparison; default 10 used. Verify from Warne.,NA,NA,NA
Pentachlorophenol,HR,chronic_NOEC,TRUE,NA,4.5,5,1,NA,burrIII3,3.6,10,17,27,µg un-ionised PCP/L,Pentachlorophenol,Warne2000,toxicant-trigger-value-derivation_0.pdf,NA,n=11 chronic values; HR SSD HC5≈9 µg/L. ANZECC also computed MR TV (acute HC5÷4.5=10 µg/L). ACR stored for reference; trigger_divisor=1 because chronic data used for fit.,NA,NA,NA
HCB,LR,qsar_predicted,FALSE,QSAR-derived trigger — no measured toxicity data,NA,NA,NA,NA,NA,NA,NA,0.05,NA,µg hexachlorobenzene/L,NA,Warne2000,toxicant-trigger-value-derivation_0.pdf,NA,NA,NA,NA,NA
Aldrin,LR,acute_LC50,FALSE,LR method (AF=100) — only 3-4 data points; no SSD,NA,NA,NA,NA,NA,NA,NA,0.001,NA,µg aldrin/L,NA,Warne2000,toxicant-trigger-value-derivation_0.pdf,NA,NA,NA,NA,NA
4.4-DDE,LR,acute_LC50,FALSE,LR method (AF=1000) — only 4 data points; no SSD,NA,NA,NA,NA,NA,NA,NA,0.03,NA,"µg 4,4'-DDE/L",NA,Warne2000,toxicant-trigger-value-derivation_0.pdf,124,NA,NA,NA,NA
Methoxychlor,LR,acute_LC50,FALSE,LR method (AF=100) — insufficient data for SSD,NA,NA,NA,NA,NA,NA,NA,0.005,NA,µg methoxychlor/L,NA,Warne2000,toxicant-trigger-value-derivation_0.pdf,NA,NA,NA,NA,NA
Demeton-S-methyl,LR,acute_LC50,FALSE,LR method — insufficient data for SSD,NA,NA,NA,NA,NA,NA,NA,4,NA,µg demeton-S-methyl/L,NA,Warne2000,toxicant-trigger-value-derivation_0.pdf,NA,NA,NA,NA,NA
