analyte,value_ug_L,species_id
Cu,0.3553791685377176,Echyridella menziesii
Cu,3.1,Epioblasma capsaeformis
Cu,8.12588456723328,Etheostoma fonticola
Cu,5.469078544486778,Fluminicola sp.
Cu,7.141242637923839,Fontigens aldrichi
Cu,18,Galaxias maculatus
Cu,5.3833660503016345,Gammarus pulex
Cu,10,Gobiomorphus cotidianus
Cu,15.586182151402236,Hyalella azteca
Cu,0.6148991576250351,Hydra viridissima
Cu,0.78,Hyridella australis
Cu,0.94,Hyridella depressa
Cu,0.98,Hyridella drapeta
Cu,2.8,Isolate 37 Unidentified sp
Cu,6,Juga plicifera
Cu,1.754212816629552,Lemna aequinoctialis
Cu,0.8335497799613486,Lemna minor
Cu,0.7398715692069548,Lymnaea stagnalis
Cu,12,Melanotaenia splendida inornata
Cu,3.5094485496809167,Mogurnda mogurnda
Cu,0.25797247303375764,Moinodaphnia macleayi
Cu,0.45,Monoraphidium arcuatum
Cu,3.592925119972707,Oncorhynchus kisutch
Cu,5.471265184856422,Oncorhynchus mykiss
Cu,10,Paracalliope fluviatilis
Cu,174.5,Paranephrops planifrons
Cu,40,Paratanytarsus parthenogeneticus
Cu,71,Pelteobagrus fulvidraco
Cu,180,Penicillium strain
Cu,19.20909302045202,Perca fluviatilis
Cu,10.285407412442035,Physa gyrina
Cu,8,Pimephales promelas
Cu,8.84,Pomacea paludosa
Cu,1.0374638465230206,Prosopium williamsoni
Cu,2.001378908743108,Pseudokirchneriella subcapitata
Cu,4.8819976447864954,Pyrgulopsis idahoensis / robusta
Cu,10.77242743611032,Taylorconcha serpenticola
Cu,1.3,Velesunio ambiguus
Cu,1.5262987229486054,Villosa iris
Cu,13.972067410250784,Zizania palustris
NH3-N,47920.86462735437,Bellamya aeruginosa
NH3-N,4802.983333308692,Bidyanus bidyanus
NH3-N,42480.33156049159,Ceriodaphnia dubia
NH3-N,29372.77978485552,Chironomus riparius
NH3-N,165023.90642964287,Chlorella vulgaris
NH3-N,7237.49395981349,Coloburiscus humeralis
NH3-N,20871.59380111159,Daphnia magna
NH3-N,3154.0472803829307,Deleatidium sp.
NH3-N,14038.683623953617,Deltistes luxatus
NH3-N,19635.900243517408,Esox lucius
NH3-N,8818.919725512142,Fluminicola sp.
NH3-N,2771.495329216833,Fontigens aldrichi
NH3-N,8885.132652251827,Hyalella azteca
NH3-N,5216.366480943807,Ictalurus punctatus
NH3-N,428.4575216169902,Lampsilis fasciola
NH3-N,916.6355325589249,Lampsilis siliquoidea
NH3-N,10899.227815580682,Lepomis cyanellus
NH3-N,3153.898354463192,Lota lota
NH3-N,31383.108874955313,Lymnaea stagnalis
NH3-N,10018.205802232127,Megalobrama amblycephala
NH3-N,12874.250054664399,Micropterus dolomieue
NH3-N,2260.4013998981495,Musculium transversum
NH3-N,19237.13352533699,Neocaridina denticulata sinensis
NH3-N,17958.422154385822,Notropis topeka
NH3-N,10730.508062422145,Oncorhynchus mykiss
NH3-N,3765.189192888604,Oreochromis niloticus
NH3-N,4089.7744681376203,Pelteobagrus fulvidraco
NH3-N,37680.83882718825,Physa gyrina
NH3-N,7150.379183833497,Pimephales promelas
NH3-N,1220.1473635986263,Polycelis felina
NH3-N,4370.861404282014,Potamopyrgus antipodarum
NH3-N,7099.975350825593,Pseudacris regilla
NH3-N,560080.3353266388,Pseudokirchneriella subcapitata
NH3-N,20901.108383513296,Ptychocheilus lucius
NH3-N,13857.476646084162,Pyrgulopis robusta
NH3-N,1110.548974532864,Sphaerium novaezelandiae
NH3-N,11819.612433424729,Taylorconcha serpenticola
NH3-N,1318.3308357445856,Villosa iris
NH3-N,86159.08347078842,Xenopus laevis
NH3-N,13750.7291996798,Xyrauchen texanus
NO3-N_hard,28500,Ceriodaphnia dubia
NO3-N_hard,120000,Chironomus dilutus
NO3-N_hard,1600000,Chlorella sp.
NO3-N_hard,358000,Daphnia magna
NO3-N_hard,102000,Hyalella azteca
NO3-N_hard,220000,Hydra viridissima
NO3-N_hard,47000,Hyla versicolor
NO3-N_hard,268000,Notropis topeka
NO3-N_hard,335000,Oncorhynchus mykiss
NO3-N_hard,1700000,Oocystis solitaria
NO3-N_hard,46700,Pimephales promelas
NO3-N_hard,45000,Simocephalus heilongjiangensis
NO3-N_mod,1940,Ceriodaphnia dubia
NO3-N_mod,5800,Chironomus dilutus
NO3-N_mod,200000,Danio rerio
NO3-N_mod,20300,Deleatidium sp.
NO3-N_mod,26600,Galaxias maculatus
NO3-N_mod,24900,Gobiomorphus cotidianus
NO3-N_mod,11000,Hyalella azteca
NO3-N_mod,17000,Lampsilis siliquoidea
NO3-N_mod,120000,Oncorhynchus mykiss
NO3-N_mod,6600,Pimephales promelas
NO3-N_mod,56700,Pseudacris regilla
NO3-N_soft,6250,Coregonus clupeaformis
NO3-N_soft,2000,Galaxias maculatus
NO3-N_soft,22500,Gobiomorphus cotidianus
NO3-N_soft,2224.859546128699,Oncorhynchus mykiss
NO3-N_soft,2300,Oncorhynchus tshawytscha
NO3-N_soft,2200,Paranephrops planifrons
NO3-N_soft,52000,Pimephales promelas
NO3-N_soft,1422.673539502299,Potamopyrgus antipodarum
NO3-N_soft,247000,Pseudokirchneriella subcapitata
NO3-N_soft,116800,Rana aurora
NO3-N_soft,4500,Salmo clarki
NO3-N_soft,1600,Salvelinus namaycush
NO3-N_soft,8600,Sphaerium novaezelandiae
NO3-N_soft,24800,Xenopus laevis
Ni,6.1,Alona affinis
Ni,217,Brachionus calyciflorus
Ni,2.5,Ceriodaphnia dubia
Ni,23.3,Ceriodaphnia pulchella
Ni,17.2,Ceriodaphnia quadrangula
Ni,104,Chironomus tentans
Ni,142,Chlorella sp. (Kakadu isolate)
Ni,18.2,Chlorella sp. 12 (PNG isolate)
Ni,60.3,Clistoronia magnifica
Ni,66.9,Daphnia longispina
Ni,16.6,Daphnia magna
Ni,32.5,Hyalella azteca
Ni,57.1,Hydra viridissima
Ni,2.78,Lemna aequinoctialis
Ni,7.94,Lemna minor
Ni,0.75,Lymnaea stagnalis
Ni,22.9,Melanotaenia splendida splendida
Ni,81,Monoraphidium arcuatum
Ni,12.5,Nannochloropsis sp.
Ni,32.7,Navicula pelliculosa
Ni,108,Pediastrum duplex
Ni,30.4,Peracantha truncata
Ni,273,Pimephales promelas
Ni,54.6,Pseudokirchneriella subcapitata
Ni,48.1,Simocephalus serrulatus
Ni,24.6,Simocephalus vetulus
Zn,14.0442897555789,Alathyria profuga
Zn,82.9355184981795,Brachionus calyciflorus
Zn,74.5491654470509,Bufos boreas
Zn,16.3304145348169,Ceriodaphnia dubia
Zn,50.345007907439,Ceriodaphnia reticulata
Zn,0.906259251198456,Chlorella sp.
Zn,569.974575501532,Chlorella sp. (eriss)
Zn,19.444037352847,Cottus bairdi
Zn,8.42657385334735,Cucumerunio novaehollandiae
Zn,42.3145410008797,Daphnia magna
Zn,21.5440825087383,Daphnia thomsoni
Zn,94.9998729076324,Dreissena polymorpha
Zn,76.4997024707746,Echyridella menziesii
Zn,44.9247598566347,Hyalella azteca
Zn,8.72752291953832,Hyridella australis
Zn,10.0316355396992,Hyridella depressa
Zn,11.0347990936691,Hyridella drapeta
Zn,40.4885985730455,Lampsilis siliquoidea
Zn,171.057476236835,Lymnaea stagnalis
Zn,7.30535226027368,Neocloeon triangulifer
Zn,181.013591780863,Oncorhynchus clarkii
Zn,63.0721384203667,Oncorhynchus mykiss
Zn,5533.24369746967,Orconectes virilis
Zn,356.845703125349,Physa gyrina
Zn,42.6158456254293,Pimephales promelas
Zn,17.4373831848164,Potamopyrgus antipodarum
Zn,81.8879187682576,Prosopium williamsoni
Zn,16.883638711369,Pseudokirchneriella subcapitata
Zn,2205.47950807588,Rhithrogena hageni
Zn,57.4907090177144,Salmo trutta
Zn,15.0474533095488,Velesunio ambiguus
